54.10	8338.66	154.13
54.20	8380.46	154.62
54.30	8422.41	155.11
54.40	8464.51	155.60
54.50	8506.75	156.09
54.60	8549.14	156.58
54.70	8591.67	157.07
54.80	8634.35	157.56
54.90	8677.18	158.06
55.00	8720.15	158.55
55.10	8763.28	159.04
55.20	8806.55	159.54
55.30	8849.97	160.04
55.40	8893.54	160.53
55.50	8937.25	161.03
55.60	8981.12	161.53
55.70	9025.13	162.03
55.80	9069.30	162.53
55.90	9113.62	163.04
56.00	9158.08	163.54
56.10	9202.70	164.04
56.20	9247.47	164.55
56.30	9292.39	165.05
56.40	9337.46	165.56
56.50	9382.68	166.07
56.60	9428.06	166.57
56.70	9473.59	167.08
56.80	9519.27	167.59
56.90	9565.11	168.10
57.00	9611.10	168.62
57.10	9657.24	169.13
57.20	9703.54	169.64
57.30	9749.99	170.16
57.40	9796.60	170.67
57.50	9843.36	171.19
57.60	9890.29	171.71
57.70	9937.36	172.23
57.80	9984.59	172.74
57.90	10031.98	173.26
58.00	10079.53	173.79
58.10	10127.23	174.31
58.20	10175.09	174.83
58.30	10223.11	175.35
58.40	10271.29	175.88
58.50	10319.63	176.40
58.60	10368.12	176.93
58.70	10416.78	177.46
58.80	10465.59	177.99
58.90	10514.56	178.52
59.00	10563.70	179.05
59.10	10613.00	179.58
59.20	10662.45	180.11
59.30	10712.07	180.64
59.40	10761.85	181.18
59.50	10811.79	181.71
59.60	10861.89	182.25
59.70	10912.16	182.78
59.80	10962.59	183.32
59.90	11013.18	183.86
60.00	11063.94	184.40
60.10	11114.86	184.94
60.20	11165.95	185.48
60.30	11217.20	186.02
60.40	11268.61	186.57
60.50	11320.19	187.11
60.60	11371.94	187.66
60.70	11423.85	188.20
60.80	11475.93	188.75
60.90	11528.18	189.30
61.00	11580.59	189.85
61.10	11633.17	190.40
61.20	11685.92	190.95
61.30	11738.83	191.50
61.40	11791.92	192.05
61.50	11845.17	192.61
61.60	11898.60	193.16
61.70	11952.19	193.72
61.80	12005.95	194.27
61.90	12059.89	194.83
62.00	12113.99	195.39
62.10	12168.26	195.95
62.20	12222.71	196.51
62.30	12277.32	197.07
62.40	12332.12	197.63
62.50	12387.08	198.19
62.60	12442.21	198.76
62.70	12497.52	199.32
62.80	12553.00	199.89
62.90	12608.65	200.46
63.00	12664.48	201.02
63.10	12720.48	201.59
63.20	12776.66	202.16
63.30	12833.01	202.73
63.40	12889.54	203.31
63.50	12946.25	203.88
63.60	13003.13	204.45
63.70	13060.19	205.03
63.80	13117.42	205.60
63.90	13174.83	206.18
64.00	13232.42	206.76
64.10	13290.19	207.34
64.20	13348.13	207.92
64.30	13406.26	208.50
64.40	13464.56	209.08
64.50	13523.04	209.66
64.60	13581.71	210.24
64.70	13640.54	210.83
64.80	13699.57	211.41
64.90	13758.77	212.00
65.00	13818.16	212.59
65.10	13877.72	213.18
65.20	13937.47	213.77
65.30	13997.40	214.36
65.40	14057.52	214.95
65.50	14117.82	215.54
65.60	14178.29	216.13
65.70	14238.95	216.73
65.80	14299.80	217.32
65.90	14360.83	217.92
66.00	14422.05	218.52
66.10	14483.46	219.12
66.20	14545.04	219.72
66.30	14606.82	220.32
66.40	14668.78	220.92
66.50	14730.93	221.52
66.60	14793.26	222.12
66.70	14855.78	222.73
66.80	14918.49	223.33
66.90	14981.39	223.94
67.00	15044.48	224.55
67.10	15107.75	225.15
67.20	15171.22	225.76
67.30	15234.87	226.37
67.40	15298.72	226.99
67.50	15362.75	227.60
67.60	15426.98	228.21
67.70	15491.39	228.83
67.80	15556.00	229.44
67.90	15620.81	230.06
68.00	15685.80	230.68
68.10	15750.98	231.29
